feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rhodobacter	flow_2weekave	flow_2weekave	1.308808329436	0.204917777938486	40	40	5.17277547123174e-05	0.0453135131279901
Ca_Alysiosphaera	reactor	SBR3	-2.14613822964567	0.392778955936706	40	40	0.000196635084149	0.0861261668572621
Halomonas	temp	temp	-1.13708947642664	0.224214987302228	40	40	0.000359780660231272	0.105055952787531
Acidovorax	reactor	SBR3	-5.34724441869666	1.36967362185527	40	35	0.00245947105733449	0.105826659916905
Amaricoccus	reactor	SBR2	-1.29901379066122	0.334279229119568	40	40	0.00253694047746004	0.105826659916905
Ca_Accumulibacter	flow_2weekave	flow_2weekave	-1.63595133849738	0.40652246858766	40	40	0.00200151253852173	0.105826659916905
Ca_Competibacter	temp	temp	-1.1291933188669	0.288364609106142	40	40	0.00240995794668597	0.105826659916905
Lautropia	flow_2weekave	flow_2weekave	0.610239905067581	0.136102969383154	40	40	0.000925792693184166	0.105826659916905
OLB12	flow_2weekave	flow_2weekave	-1.04421804888263	0.247291349291241	40	40	0.00143005407734754	0.105826659916905
Turneriella	flow_2weekave	flow_2weekave	-0.893026209390388	0.227859170680156	40	40	0.0023961202577848	0.105826659916905
midas_g_1063	reactor	SBR2	2.61797520435952	0.660247562191202	40	40	0.00221445472434083	0.105826659916905
midas_g_1195	temp	temp	-1.82419886630077	0.415618085606536	40	38	0.00108257434468773	0.105826659916905
midas_g_1363	temp	temp	0.635285228607152	0.151351000135756	40	40	0.00149203397445708	0.105826659916905
midas_g_1409	temp	temp	0.957637711462411	0.241147011120909	40	40	0.00219167095294661	0.105826659916905
midas_g_1668	temp	temp	0.567271112952371	0.133224302926726	40	40	0.00134748710449683	0.105826659916905
midas_g_169	temp	temp	-2.96424784908727	0.759626252284194	40	38	0.00246702836655011	0.105826659916905
midas_g_2621	reactor	SBR2	-1.3316512080567	0.331494493393277	40	40	0.00202607302280492	0.105826659916905
midas_g_550	temp	temp	0.859254533668082	0.193030611533365	40	40	0.00097644959796526	0.105826659916905
midas_g_611	temp	temp	0.656370584529741	0.151927814857007	40	40	0.00121410437701424	0.105826659916905
midas_g_679	temp	temp	0.411906041167539	0.0993145200597576	40	40	0.00162333018485849	0.105826659916905
midas_g_70	temp	temp	-2.91380736602851	0.743672221162334	40	40	0.00240052507774633	0.105826659916905
Amaricoccus	reactor	SBR3	-1.48089852891194	0.388304736541238	40	40	0.00287403411491475	0.109727773398773
Ca_Alysiosphaera	reactor	SBR2	-1.28076675745491	0.338130942657114	40	40	0.00300624036708967	0.109727773398773
midas_g_75	flow_2weekave	flow_2weekave	1.45659744814441	0.384500928826609	40	40	0.00300365030029021	0.109727773398773
Ca_Competibacter	reactor	SBR2	2.01542988021448	0.541617506721245	40	40	0.00337512838355429	0.110022983395235
Stella	flow_2weekave	flow_2weekave	1.21760947846483	0.331106242172844	40	40	0.00364231337723953	0.110022983395235
midas_g_1195	flow_2weekave	flow_2weekave	-2.0465119700946	0.552017922746658	40	38	0.0034571957389685	0.110022983395235
midas_g_1221	temp	temp	0.374382649891932	0.10021408030531	40	40	0.00328994882907546	0.110022983395235
midas_g_1363	flow_2weekave	flow_2weekave	0.740003269299023	0.201022206669957	40	40	0.00361823293572575	0.110022983395235
Nannocystis	reactor	SBR2	-1.40111551294502	0.39554170707569	40	40	0.00461428092765103	0.118885590959479
Oikopleura	reactor	SBR3	-1.02275982259298	0.286163153106589	40	40	0.0043639952953124	0.118885590959479
Oikopleura	flow_2weekave	flow_2weekave	-0.625886189297061	0.174204120027427	40	40	0.00422261534726229	0.118885590959479
Pajaroellobacter	temp	temp	-0.592878944677758	0.167027719293618	40	40	0.00455538945900788	0.118885590959479
midas_g_595	temp	temp	-3.41316444264881	0.962207424516713	40	39	0.00457431464736407	0.118885590959479
Oikopleura	reactor	SBR2	-0.857060589890402	0.246348780277463	40	40	0.00515703857068101	0.127374520553401
midas_g_225	perf	reduced C	-1.12042414997182	0.322834382090387	40	40	0.00523456933781098	0.127374520553401
Dechloromonas	flow_2weekave	flow_2weekave	-1.55188042229354	0.449936931413576	40	40	0.00543661158819024	0.128715452736612
midas_g_4089	reactor	SBR2	-1.7691893655082	0.519736766681945	40	40	0.00588722864001762	0.135716112859354
Acidovorax	perf	reduced C	5.4985376665461	1.64355035355248	40	35	0.00652914802172121	0.14385400624335
Rhizobacter	reactor	SBR3	-1.90533912059602	0.572269220947913	40	40	0.00671785434667861	0.14385400624335
midas_g_1226	temp	temp	0.852109807037436	0.256028462101088	40	40	0.00673289298627552	0.14385400624335
midas_g_56	temp	temp	-1.46214262097267	0.446488253735022	40	40	0.00740231274550757	0.154391094406301
Hassallia	temp	temp	-1.71461570419011	0.532916730621713	40	40	0.00819663756680758	0.157133537954873
Phaselicystis	temp	temp	-0.508602520364538	0.15826164295657	40	40	0.00825130450447963	0.157133537954873
Tetrasphaera	reactor	SBR2	-3.15482329730932	0.976823599936234	40	40	0.00801985220263302	0.157133537954873
midas_g_843	temp	temp	0.578075359588995	0.177940610486491	40	40	0.00775314619042432	0.157133537954873
