sample	date	reactor
SBR1-1	7/5/22	SBR1
SBR1-2	9/6/22	SBR1
SBR1-3	10/24/22	SBR1
SBR1-4	11/28/22	SBR1
SBR1-5	1/9/23	SBR1
SBR1-6	2/6/23	SBR1
SBR1-7	3/6/23	SBR1
SBR1-8	4/10/23	SBR1
SBR1-9	5/8/23	SBR1
SBR1-10	6/20/23	SBR1
SBR1-11	7/24/23	SBR1
SBR1-12	8/21/23	SBR1
SBR1-13	10/9/23	SBR1
SBR2-1	7/5/22	SBR2
SBR2-2	9/6/22	SBR2
SBR2-3	10/24/22	SBR2
SBR2-4	11/28/22	SBR2
SBR2-5	1/9/23	SBR2
SBR2-6	2/6/23	SBR2
SBR2-7	3/6/23	SBR2
SBR2-8	4/10/23	SBR2
SBR2-9	5/8/23	SBR2
SBR2-10	5/30/23	SBR2
SBR2-11	6/20/23	SBR2
SBR2-12	7/24/23	SBR2
SBR2-13	8/21/23	SBR2
SBR2-14	10/9/23	SBR2
SBR3-1	10/24/22	SBR3
SBR3-2	10/31/22	SBR3
SBR3-3	11/14/22	SBR3
SBR3-4	11/28/22	SBR3
SBR3-5	12/12/22	SBR3
SBR3-6	1/9/23	SBR3
SBR3-7	2/6/23	SBR3
SBR3-8	3/6/23	SBR3
SBR3-9	3/13/23	SBR3
SBR3-10	3/27/23	SBR3
SBR3-11	4/10/23	SBR3
SBR3-12	5/8/23	SBR3
SBR3-13	5/30/23	SBR3
