feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Rhodobacter	flow_2weekave	flow_2weekave	1.1085016932004	0.154834046020598	40	40	7.37624748379226e-06	0.00430772853053468
Ca_Alysiosphaera	reactor	SBR3	-1.83447144635737	0.299802236835213	40	40	3.66661030096094e-05	0.0071376680525373
OLB12	flow_2weekave	flow_2weekave	-1.10089193532544	0.17490500597635	40	40	2.76984096714624e-05	0.0071376680525373
midas_g_1668	temp	temp	0.639515569888626	0.109603788716727	40	40	5.82983930784928e-05	0.00763057188592458
midas_g_611	temp	temp	0.687229072596163	0.119185388305406	40	40	6.53302387493543e-05	0.00763057188592458
midas_g_1363	temp	temp	0.653021442220808	0.117168923596672	40	40	9.02183460399401e-05	0.00771259080332843
midas_g_550	temp	temp	0.863431735695801	0.155324268322507	40	40	9.24454377111285e-05	0.00771259080332843
midas_g_1363	flow_2weekave	flow_2weekave	0.748938220906413	0.138788456532233	40	40	0.000121920836065809	0.00890022103280405
midas_g_2621	reactor	SBR2	-1.53000481685945	0.290071882306847	40	40	0.000150329522649388	0.00975471569191586
Halomonas	temp	temp	-0.968502627304065	0.190597253765046	40	40	0.000210498789688506	0.0122931293178088
Lautropia	flow_2weekave	flow_2weekave	0.50233832042514	0.104366627881484	40	40	0.000338727505139268	0.0131877908667555
midas_g_1063	reactor	SBR2	2.64763300383913	0.535422567280756	40	40	0.000267829934198443	0.0131877908667555
midas_g_1195	temp	temp	-1.61013844731646	0.334010971607347	40	38	0.000334264042552356	0.0131877908667555
midas_g_1195	flow_2weekave	flow_2weekave	-1.91944113585831	0.395641316752115	40	38	0.000316320754543523	0.0131877908667555
midas_g_169	temp	temp	-3.00702799081985	0.61379068471652	40	38	0.000290556992586021	0.0131877908667555
midas_g_1409	temp	temp	0.911477699974438	0.198635459739484	40	40	0.000508035864119973	0.018543309040379
Nannocystis	reactor	SBR2	-1.4876403125745	0.329544784554281	40	40	0.000581945522203277	0.0199915402921596
Zoogloea	flow_2weekave	flow_2weekave	-1.19274555498138	0.276995364959912	40	40	0.00085370967434499	0.0276981361009708
midas_g_679	temp	temp	0.363201691719267	0.0854760442360392	40	40	0.00094867158661818	0.0277012103292508
midas_g_75	flow_2weekave	flow_2weekave	1.19161099801023	0.278662545122868	40	40	0.00090225509689622	0.0277012103292508
Phaeodactylibacter	flow_2weekave	flow_2weekave	-0.897194086685694	0.213634731280426	40	40	0.0010402109356649	0.0289277707823
Hassallia	temp	temp	-1.85163567791911	0.446066779412487	40	40	0.00113903300086564	0.0302361487502514
midas_g_56	reactor	SBR3	-2.88165844708499	0.709413370586682	40	40	0.00134563105848731	0.0327436890898578
midas_g_843	temp	temp	0.562587970882966	0.137972945818588	40	40	0.00130707221265028	0.0327436890898578
Phaselicystis	temp	temp	-0.535345261564673	0.133867641953443	40	40	0.00151474685363315	0.0329172352689925
Thauera	flow_2weekave	flow_2weekave	-3.16124348572911	0.788410352816184	40	40	0.00148488009652339	0.0329172352689925
midas_g_1668	reactor	SBR2	-0.857119472728231	0.215504225197432	40	40	0.00157822360878731	0.0329172352689925
midas_g_611	reactor	SBR3	0.95520113391569	0.240137377496376	40	40	0.00157687569830036	0.0329172352689925
Stella	flow_2weekave	flow_2weekave	0.996716724621803	0.252390956426633	40	40	0.00166437006528006	0.0335169695904674
Acidovorax	flow_2weekave	flow_2weekave	3.02807467864323	0.815944018626557	40	35	0.0026139929643795	0.0378729251409182
CL500.3	flow_2weekave	flow_2weekave	-1.09362889437774	0.288478657785908	40	40	0.00224530846481977	0.0378729251409182
Ca_Accumulibacter	flow_2weekave	flow_2weekave	-1.19201228316099	0.323452231319635	40	40	0.00274605354097209	0.0378729251409182
Ca_Alysiosphaera	reactor	SBR2	-1.07777437974266	0.292569024503338	40	40	0.00275366637884627	0.0378729251409182
Dokdonella	reactor	SBR2	-2.42395200849422	0.642371907022448	40	40	0.00232161362871808	0.0378729251409182
Ferruginibacter	reactor	SBR2	-1.0745875430891	0.284713916878006	40	40	0.00231794827566262	0.0378729251409182
Nitrospira	flow_2weekave	flow_2weekave	-0.955984849132023	0.259974629312892	40	40	0.00278858866619774	0.0378729251409182
P3OB.42	flow_2weekave	flow_2weekave	-0.613742304473239	0.164088314247874	40	40	0.0024726348567351	0.0378729251409182
Stella	temp	temp	0.808930396217998	0.213075189601053	40	40	0.00222224908304953	0.0378729251409182
midas_g_1226	temp	temp	0.762365702097418	0.202199716320137	40	40	0.0023352524310714	0.0378729251409182
midas_g_1668	flow_2weekave	flow_2weekave	0.488349920907798	0.129827433752336	40	40	0.00237479835612582	0.0378729251409182
midas_g_23116	reactor	SBR2	-1.02663872632202	0.278045612600608	40	40	0.00270933316996597	0.0378729251409182
